meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,8,Bench. 78,1600,M Aitken,0.2,27/06/20,Le Pine Funerals (Bm78),2-Thought Of That,1,8.5,01:38.16,Caulfield,Soft 6,61,0:0-0-0,172675,843346,895965,11812,16457,11812,15572,$60000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,7,Bench. 78,1600,M Aitken,5.1,13/06/20,Dynamic Print Group (Bm78),1-Holbien,5,6.5,01:39.54,Moonee Valley,Soft 6,58,0:0-0-0,172534,842390,895965,11812,16457,11812,15572,$60000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,2,Bench. 78,1400,M Aitken,3.9,09/05/20,Bill Collins (Bm78),1-Viral,8,6.5,01:27.89,Caulfield,Soft 7,58,0:0-0-0,172000,839618,895965,11812,16457,11812,15572,$60000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,7,Bench. 70,1600,M Aitken,0.1,01/01/20,Visit Living Legends (Bm70),2-Ruby Skye,1,4.6,01:35.99,Flemington,Good 3,59.5,0:0-0-0,170309,829017,895965,11812,16457,11812,15572,$125000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,1,Open,1590,M Aitken,1.9,29/11/19,McRae Motors Wodonga Gold Cup,1-Willi Willi,5,3.1,01:34.43,Wodonga,Good 3,54,0:0-0-0,169734,826075,895965,11812,16457,11812,15572,$100000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,5,Bench. 70,1600,E Brown,0.2,15/11/19,B&K Express (Bm70),2-Boltoutoftheblue,1,1.9,01:38.04,Moonee Valley,Good 3,59,0:0-0-0,169546,824834,895965,11812,16457,11812,15633,$50000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,5,Bench. 70,1300,E Brown,0.2,30/10/19,Filkel (Bm70),1-Write Your Name,2,6.5,01:16.42,Bendigo,Good 3,59,0:0-0-0,169239,823085,895965,11812,16457,11812,15633,$35000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,7,Open,1600,B Mertens,1.8,06/07/19,Silver Bowl Series Final,1-Buffalo River,3,6,01:37.81,Flemington,Soft 5,56,0:0-0-0,167124,812609,895965,11812,16457,11812,15446,$135000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,9,Open,1600,B Mertens,0.1,08/06/19,Eugene Gorman Hcp,2-Mr Exclusive,1,51,01:37.52,Flemington,Soft 5,54,0:0-0-0,166775,810342,895965,11812,16457,11812,15446,$135000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Heavenly Emperor,4,Gelding,Echoes Of Heaven,Race Empress,1,Will Price,6,S V Brown,59,3,113x2151x851,16:5-3-2,9: 4-1-1,2: 1-0-0,1: 1-0-0,0:0-0-0,5:3-1-0,11:2-2-2,0:0-0-0,0:0-0-0,5:0-2-1,4:2-1-0,$256 652,6,Maiden,1300,B Prebble,1.3,19/05/19,The Big Screen Company Mdn,2-Lavrovsky,1,1.95,01:18.36,Bendigo,Good 4,58.5,0:0-0-0,166479,808719,895965,11812,16457,11812,10548,$35000
25/07/2020 00:00:00,Caulfield,1,25-Jul-2020 12:00,1600,,Benchmark 78,56,Of $60000  -  1st  $33000 | 2nd  $10800| 3rd  $5400| 4th  $3000| 5th  $1800,,Handicap,Neds (Bm78),Apprentices Can Claim,Battle Torque,7,Gelding,Passenger,War Zone,2,R Mc Leod,8,Nick Ryan,59,0,6600x0633x92,53:10-6-8,25: 7-2-2,2: 0-1-1,0: 0-0-0,0:0-0-0,32:6-3-6,18:4-3-0,3:0-0-2,0:0-0-0,8:0-0-4,8:0-3-0,$333 910,9,Open,1400,W Egan,1.5,11/07/20,Neds Same Race Multi Hcp,1-Travimyfriend,2,19,01:26.09,Caulfield,Soft 7,56,0:0-0-0,172828,844366,819916,26371,11899,26371,13699,$100000
