Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-10,2.5,5,Morrissy,L & T Corstens,C Williams,57,9,1-1-2001,$3.70,$4.20
2-10,2.5,11,Ruban Bleu,T Dabernig & B Hayes,D W Stackhouse,56,1,7-7-2005,$7-$7.5,$7
3-10,2.7,4,Great Duchess,G Eurell,Jye Mc Neil,57,4,3-3-2004,$3.80,$4.20
4-10,3.9,1,Rivet Delight (IRE),L Smith,D Bates,58,10,8-8-2007,$21-$26,$21
5-10,4.3,7,Ballet Master (NZ),C F Hyland,L German,54,8,5-5-2002,$11,$13
6-10,5.6,2,Last Week (GB),C Maher & D Eustace,T Nugent,55.5,3,9-9-2009,$41,$41
7-10,6,3,Travimyfriend (NZ),Ms R Frost,D Yendall,57.5,6,4-4-2006,$4.8-$4.4,$4.60
8-10,6.2,6,Curragh (NZ),T Busuttin & N Young,B Melham,56,5,10-10-10,$16,$21
9-10,6.9,8,Kings Brook,P G Moody,L Nolen,56,7,2-2-2003,$12-$14,$12
10-10,8.2,12,Good Therapy,C W McDonald,W Price,53,2,6-6-2008,$31,$41
