meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Awkward,3,Filly,Teofilo,Tactless,2,B Rawiller,2,James Cummings,57,0,2x233,4:0-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-1-0,3:0-1-2,0:0-0-0,0:0-0-0,2:0-2-0,1:0-0-1,$28 675,8,Maiden,1200,J Allen,1.3,05/08/20,Cranbourne Mitsubishi Mdn,1-The Big Easy,3,4.6,01:13.86,Cranbourne,Soft 7,56,0:0-0-0,173097,846162,910382,26597,11013,26597,14854,$35000
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Awkward,3,Filly,Teofilo,Tactless,2,B Rawiller,2,James Cummings,57,0,2x233,4:0-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-1-0,3:0-1-2,0:0-0-0,0:0-0-0,2:0-2-0,1:0-0-1,$28 675,4,Maiden,1112,J Allen,1.1,17/07/20,Allianz Insurance Mdn,1-Dirty Thoughts,3,4.2,01:05.85,Geelong,Soft 5,56,0:0-0-0,172901,844822,910382,26597,11013,26597,14854,$31500
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Awkward,3,Filly,Teofilo,Tactless,2,B Rawiller,2,James Cummings,57,0,2x233,4:0-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-1-0,3:0-1-2,0:0-0-0,0:0-0-0,2:0-2-0,1:0-0-1,$28 675,5,Maiden,1000,J Allen,0.4,03/07/20,Apiam Animal Health Mdn,1-Piscatorial,2,3,00:59.22,Bendigo,Soft 5,57,0:0-0-0,172739,843820,910382,26597,11013,26597,14854,$31500
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Awkward,3,Filly,Teofilo,Tactless,2,B Rawiller,2,James Cummings,57,0,2x233,4:0-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-1-0,3:0-1-2,0:0-0-0,0:0-0-0,2:0-2-0,1:0-0-1,$28 675,1,Maiden,1000,D Yendall,0.3,25/02/20,Bet365 Mdn Plate,1-Maha,2,11,00:57.66,Bendigo,Good 4,57,0:0-0-0,171052,833807,910382,26597,11013,26597,2740,$35000
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Bring It Bella,3,Filly,Sebring,Bellissima Miss,3,W Pike,6,T Busuttin & N Young,57,0,8x92,3:0-1-0,1: 0-1-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-1-0,1:0-0-0,0:0-0-0,0:0-0-0,2:0-0-0,1:0-1-0,$5 127,6,Maiden,1354,P Moloney,0.4,01/08/20,Remember R Booth/D Philpot Mdn,1-Barangaready,2,10,01:23.21,Donald,Good 4,55,0:0-0-0,173078,846054,930187,26753,12691,26753,15047,$23000
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Bring It Bella,3,Filly,Sebring,Bellissima Miss,3,W Pike,6,T Busuttin & N Young,57,0,8x92,3:0-1-0,1: 0-1-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-1-0,1:0-0-0,0:0-0-0,0:0-0-0,2:0-0-0,1:0-1-0,$5 127,12,Maiden,1200,T Stockdale,8.3,14/07/20,Parker Bros Earthmoving Mdn,1-Yes Baby Yes,9,9.5,01:11.78,Seymour,Soft 6,57,0:0-0-0,172872,844635,930187,26753,12691,26753,15993,$20700
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Bring It Bella,3,Filly,Sebring,Bellissima Miss,3,W Pike,6,T Busuttin & N Young,57,0,8x92,3:0-1-0,1: 0-1-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-1-0,1:0-0-0,0:0-0-0,0:0-0-0,2:0-0-0,1:0-1-0,$5 127,7,Maiden,1000,M J Walker,7.9,25/02/20,Bet365 Mdn Plate,1-Maha,8,3.8,00:57.66,Bendigo,Good 4,57,0:0-0-0,171052,833807,930187,26753,12691,26753,12201,$35000
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Divine Diosa,3,Filly,Teofilo,La Siroque,5,Jamie Kah,5,M Ellerton & S Zahra,57,0,6x33,3:0-0-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-0,1:0-0-1,1:0-0-1,0:0-0-0,2:0-0-1,1:0-0-1,$9 666,1,Maiden,1300,J Kah,0.7,09/08/20,Bendigo Mazda Mdn Plate,1-Blood Sweat Tears,3,4.8,01:20.23,Bendigo,Heavy 8,56,0:0-0-0,173173,846559,920506,25186,15027,25186,15027,$35000
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Divine Diosa,3,Filly,Teofilo,La Siroque,5,Jamie Kah,5,M Ellerton & S Zahra,57,0,6x33,3:0-0-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-0,1:0-0-1,1:0-0-1,0:0-0-0,2:0-0-1,1:0-0-1,$9 666,9,Maiden,1100,D Moor,2.6,26/07/20,Hygain Mdn Plate,1-Zooming Zebra,3,5.5,01:06.55,Echuca,Soft 6,57,0:0-0-0,173008,845544,920506,25186,15027,25186,13066,$20700
19/08/2020 00:00:00,Sandown-Lakeside,1,19-Aug-2020 12:25,1400,3yo,Maiden,0,Of $50000  -  1st  $27500 | 2nd  $9000| 3rd  $4500| 4th  $2500| 5th  $1500,Fillies,Set Weight,Ladbrokes Go The Distance Mdn,Apprentices Cannot Claim,Divine Diosa,3,Filly,Teofilo,La Siroque,5,Jamie Kah,5,M Ellerton & S Zahra,57,0,6x33,3:0-0-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-0,1:0-0-1,1:0-0-1,0:0-0-0,2:0-0-1,1:0-0-1,$9 666,13,Maiden,1100,Ms L J Meech,3.0,09/03/20,Craigs Royal Hotel Mdn Plate,1-Thudson,6,4.4,01:03.94,Ballarat,Good 4,56,0:0-0-0,171283,835127,920506,25186,15027,25186,12035,$35000
