meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,9,Maiden,2100,M Lloyd,20.8,30/07/20,Evergreen Turf Mdn Plate,1-He's Wow Class,9,31,02:12.41,Ballarat Synthetic,Synthetic ,56.5,1:0-0-0,173038,845762,883278,25974,15572,25974,16248,$31500
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,1,Maiden,2050,D Yendall,11.2,13/07/20,Scott Smith Landscaping Mdn,1-Marikoriko,4,5,02:09.90,Murtoa,Soft 7,59.5,1:0-0-0,172869,844607,883278,25974,15572,25974,2740,$20700
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,12,Maiden,1600,D Yendall,4.7,03/07/20,No Fuss Event Hire Mdn Plate,1-Queen Of Tarts,7,71,01:39.91,Bendigo,Soft 6,59.5,1:0-0-0,172739,843822,883278,25974,15572,25974,2740,$31500
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,9,Maiden,1600,J Hill,6.6,22/05/20,Gotta Buy A Pie At Waack's Mdn,1-Mark The Horse,8,11,01:41.15,Stawell,Soft 6,58.5,1:0-0-0,172252,840826,883278,25974,15572,25974,13898,$20700
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,8,Maiden,1410,D Yendall,5.7,07/05/20,Totally Workwear Mdn,1-Catcha Spark,4,5.5,01:28.76,Werribee,Soft 7,59.5,1:0-0-0,171974,839444,883278,25974,15572,25974,2740,$31500
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,3,Maiden,1300,J Hill,3.1,12/04/20,Stawell Grampians Gate Mdn,1-Lady Delight,5,21,01:18.83,Stawell,Good 4,58.5,1:0-0-0,171685,837711,883278,25974,15572,25974,13898,$31500
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,8,Maiden,1700,J Fry,12.2,31/12/19,W'bool Football Netball Mdn,1-Grand Promenade,8,41,01:43.54,Warrnambool,Good 4,58.5,1:0-0-0,170287,828887,883278,25974,15572,25974,13968,$35000
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,10,Maiden,1600,J Fry,1.1,03/12/19,Wdea Works Mdn,1-Sleepless,6,12,01:38.81,Hamilton,Good 4,58.5,1:0-0-0,169780,826347,883278,25974,15572,25974,13968,$23000
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,8,Maiden,1600,J Fry,4.3,12/11/19,McKenzie Plumbing Mdn Plate,1-Jimmy's Secret,2,13,01:41.10,Hamilton,Soft 6,58.5,1:0-0-0,169495,824498,883278,25974,15572,25974,13968,$23000
20/08/2020 00:00:00,Warrnambool,1,20-Aug-2020 13:00,2350,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Michele Jolliffe Mdn Plate,Apprentices Can Claim,Bless The Fleet,6,Gelding,God's Own,Valenshikov,1,Mr M Aitken,7,Dane Smith,58.5,0,6268x548749,18:0-2-0,0: 0-0-0,2: 0-0-0,0: 0-0-0,0:0-0-0,11:0-1-0,6:0-1-0,0:0-0-0,0:0-0-0,4:0-1-0,3:0-0-0,$18 208,2,Maiden,1400,J Lorensini,5.1,22/10/19,Hygain Mdn Plate,1-Ocean Heart,6,31,01:23.94,Hamilton,Good 4,58.5,1:0-0-0,168989,822148,883278,25974,15572,25974,10951,$23000
