meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,3,Group 3,1200,W Egan,4.0,08/08/20,Aurie's Star Hcp,1-Home Of The Brave,7,5.5,01:10.58,Flemington,Soft 7,57.5,0:0-0-0,173120,846356,852662,24727,15585,24727,13699,$160000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,8,Open,1400,W Egan,2.8,07/12/19,Racing.Com Vobis Gold Bullion,1-Yulong January,5,4.4,01:24.60,Racing.Com Park,Good 3,61,0:0-0-0,169833,826704,852662,24727,15585,24727,13699,$150000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,4,Group 3,1500,W Egan,3.0,16/11/19,Ladbrokes Sandown Stakes,1-Gold Fields,6,2.6,01:30.29,Sandown-Hillside,Good 3,59,0:0-0-0,169550,824865,852662,24727,15585,24727,13699,$160000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,5,Open,1500,W Egan,0.1,25/10/19,Chandler Macleod Gold Star,1-Iconoclasm,2,2.5,01:30.70,Moonee Valley,Good 3,61,0:0-0-0,169017,822397,852662,24727,15585,24727,13699,$150000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,8,Group 1,1600,W Egan,4.5,12/10/19,Toorak Hcp,1-Fierce Impact,9,12,01:35.19,Caulfield,Good 3,57.5,0:0-0-0,168716,821140,852662,24727,15585,24727,13699,$500000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,6,Group 1,1400,W Egan,2.6,21/09/19,L'brokes Sir Rupert Clarke,1-Begood Toya Mother,3,14,01:21.98,Caulfield,Good 4,56,0:0-0-0,168121,818738,852662,24727,15585,24727,13699,$500000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,5,Listed,1200,W Egan,5.9,07/09/19,Strathmore Bendigo Bank Stakes,1-The Inevitable,5,9.5,01:10.53,Moonee Valley,Good 4,60,0:0-0-0,167945,817628,852662,24727,15585,24727,13699,$140000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,11,Group 1,1400,W Egan,4.4,08/06/19,Stradbroke Hcp,1-Trekking,7,8,01:21.86,Eagle Farm,Good 3,54,0:0-0-0,166772,810310,852662,24727,15585,24727,13699,$1500000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,1,Open,1600,B Rawiller,1.3,27/04/19,Irt Vobis Gold Mile,2-Kazio,1,1.8,01:38.84,Caulfield,Good 4,58,0:0-0-0,166022,806381,852662,24727,15585,24727,11013,$250000
22/08/2020 00:00:00,Moonee Valley,1,22-Aug-2020 12:50,1523,,Open,56,Of $125000  -  1st  $68750 | 2nd  $22500| 3rd  $11250| 4th  $6250| 5th  $3750,,Handicap,Happy 60th Birthday Pete Hcp,Apprentices Can Claim,Widgee Turf,7,Gelding,Turffontein,Greyhound,1,Tahlia Hope,2,Patrick Payne,58.5,2,017x539265x7,37:11-10-4,5: 2-2-0,8: 3-3-0,4: 2-2-0,0:0-0-0,31:8-9-4,5:2-1-0,1:1-0-0,0:0-0-0,7:2-0-1,5:2-1-1,$1 253 200,15,Group 1,1600,W Egan,5.3,06/04/19,The Star Doncaster Mile,1-Brutal,10,15,01:37.65,Randwick,Soft 7,52,0:0-0-0,165629,804212,852662,24727,15585,24727,13699,$3000000
