meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Taken Off,4,Gelding,Toorak Toff,En Amont,1,Kayla Crowther,8,P Stokes,60.5,0,141x,3:2-0-0,0: 0-0-0,2: 1-0-0,0: 0-0-0,0:0-0-0,3:2-0-0,0:0-0-0,0:0-0-0,0:0-0-0,1:1-0-0,1:0-0-0,$50 100,2,Bench. 64,1000,K Crowther,0.8,07/12/19,Holdfast Insurance (Bm64),2-Little Rich Boy,1,2.2,00:58.69,Morphettville Parks,Good 4,54,0:0-0-0,169822,826617,914140,21894,15931,21894,15931,$50000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Taken Off,4,Gelding,Toorak Toff,En Amont,1,Kayla Crowther,8,P Stokes,60.5,0,141x,3:2-0-0,0: 0-0-0,2: 1-0-0,0: 0-0-0,0:0-0-0,3:2-0-0,0:0-0-0,0:0-0-0,0:0-0-0,1:1-0-0,1:0-0-0,$50 100,10,Class 1,1050,G Lo,1.2,05/11/19,Tab Hcp (C1),1-Nasifa,4,5,01:01.99,Morphettville,Good 4,55.5,0:0-0-0,169348,823711,914140,21894,15931,21894,16144,$20000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Taken Off,4,Gelding,Toorak Toff,En Amont,1,Kayla Crowther,8,P Stokes,60.5,0,141x,3:2-0-0,0: 0-0-0,2: 1-0-0,0: 0-0-0,0:0-0-0,3:2-0-0,0:0-0-0,0:0-0-0,0:0-0-0,1:1-0-0,1:0-0-0,$50 100,10,Maiden,1050,G Lo,2.3,19/10/19,Roadside Services Mdn Plate,2-Kishstar,1,9,01:02.59,Morphettville,Good 4,54.5,0:0-0-0,168881,821709,914140,21894,15931,21894,16144,$35000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Tanker,3,Gelding,Pride Of Dubai,Calcatta,2,B Vorster,2,C Maher & D Eustace,60,0,15860x7,6:1-0-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,1:0-0-0,0:0-0-0,0:0-0-0,2:1-0-0,1:0-0-0,$137 400,8,Open,1000,T Nugent,5.0,01/08/20,Jockey Celebration Day Hcp,1-Hard Landing,7,6.5,01:00.40,Moonee Valley,Soft 5,58,0:0-0-0,173055,845904,921189,27269,13823,27269,16002,$135000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Tanker,3,Gelding,Pride Of Dubai,Calcatta,2,B Vorster,2,C Maher & D Eustace,60,0,15860x7,6:1-0-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,1:0-0-0,0:0-0-0,0:0-0-0,2:1-0-0,1:0-0-0,$137 400,12,Group 1,1200,J Allen,7.1,22/02/20,Blue Diamond Stakes,1-Tagaloa,13,91,01:08.56,Caulfield,Good 3,56.5,0:0-0-0,170975,833511,921189,27269,13823,27269,14854,$1500000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Tanker,3,Gelding,Pride Of Dubai,Calcatta,2,B Vorster,2,C Maher & D Eustace,60,0,15860x7,6:1-0-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,1:0-0-0,0:0-0-0,0:0-0-0,2:1-0-0,1:0-0-0,$137 400,6,Group 3,1100,J Allen,2.8,08/02/20,Neds Blue Diamond Prelude-C&G,1-Hanseatic,6,31,01:03.08,Caulfield,Good 3,55.5,0:0-0-0,170810,832274,921189,27269,13823,27269,14854,$200000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Tanker,3,Gelding,Pride Of Dubai,Calcatta,2,B Vorster,2,C Maher & D Eustace,60,0,15860x7,6:1-0-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,1:0-0-0,0:0-0-0,0:0-0-0,2:1-0-0,1:0-0-0,$137 400,6,Listed,1000,M Zahra,6.4,25/01/20,Blue Diamond Preview-C&G,1-Hanseatic,8,4.8,00:57.48,Caulfield,Good 4,57,0:0-0-0,170630,831050,921189,27269,13823,27269,11967,$160000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Tanker,3,Gelding,Pride Of Dubai,Calcatta,2,B Vorster,2,C Maher & D Eustace,60,0,15860x7,6:1-0-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,1:0-0-0,0:0-0-0,0:0-0-0,2:1-0-0,1:0-0-0,$137 400,1,Open,1100,Ben Allen,6.6,09/11/19,Golden Gift,1-Dame Giselle,5,3,01:03.71,Rosehill,Good 3,56.5,0:0-0-0,169424,824145,921189,27269,13823,27269,15557,$1000000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Tanker,3,Gelding,Pride Of Dubai,Calcatta,2,B Vorster,2,C Maher & D Eustace,60,0,15860x7,6:1-0-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,1:0-0-0,0:0-0-0,0:0-0-0,2:1-0-0,1:0-0-0,$137 400,6,Listed,1000,Ben Allen,2.3,12/10/19,Debutant Stakes,2-Euphoric Summer,1,7.5,00:58.13,Caulfield,Good 4,57,0:0-0-0,168716,821030,921189,27269,13823,27269,15557,$175000
22/08/2020 00:00:00,Morphettville,1,22-Aug-2020 11:20,1100,3 4yo,Benchmark 64,54,Of $36000  -  1st  $20700 | 2nd  $6300| 3rd  $2925| 4th  $1575| 5th  $1125,,Handicap,Winning Edge Present. (Bm64),Apprentices Can Claim,Atlantic Lad,4,Gelding,Barbados,Hot Senora,3,D Tourneur,7,Ryan Balfour,58,0,17x,2:1-0-0,0: 0-0-0,2: 1-0-0,0: 0-0-0,0:0-0-0,1:0-0-0,0:0-0-0,1:1-0-0,0:0-0-0,1:1-0-0,1:0-0-0,$34 250,4,Bench. 66,1200,S Price,9.4,15/02/20,Tab Adelaide Cup Day 9/3-Bm66,1-Seemingly Discreet,7,9,01:10.05,Morphettville,Good 4,58.5,0:0-0-0,170899,832853,907544,23016,9912,2464,8920,$50000
