meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Salbris,3,Filly,Spirit Of Boom,I Like Red,7,Ms T Harrison,3,S W Kendrick,57,0,2,1:0-1-0,1: 0-1-0,1: 0-1-0,1: 0-1-0,0:0-0-0,0:0-0-0,1:0-1-0,0:0-0-0,0:0-0-0,1:0-1-0,0:0-0-0,$7 250,6,Open,1000,M Hellyer,2.8,09/08/20,Suncoast Marine Electrical Hcp,1-Rollinwiththeflow,2,31,00:58.95,Sunshine Coast,Soft 6,54,0:0-0-0,173165,846508,924995,16001,14607,16001,13755,$21000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Shahi,3,Filly,Zoustar,Pleats,8,M Hellyer,2,Kacy Fogden,57,0,0x4748x,5:0-0-0,3: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,3:0-0-0,1:0-0-0,1:0-0-0,0:0-0-0,2:0-0-0,1:0-0-0,$7 380,8,Maiden,1200,Jag Guthmann-Chester,4.4,13/04/20,Carlton Mid Mdn Hcp,1-In Agreement,8,9.5,01:11.36,Ipswich,Good 4,55,0:0-0-0,171687,837728,922384,27393,13755,27393,15580,$21000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Shahi,3,Filly,Zoustar,Pleats,8,M Hellyer,2,Kacy Fogden,57,0,0x4748x,5:0-0-0,3: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,3:0-0-0,1:0-0-0,1:0-0-0,0:0-0-0,2:0-0-0,1:0-0-0,$7 380,5,Maiden,870,M Hellyer,4.7,19/03/20,Get Out Stakes Mdn Plate,1-Misslleers,4,5,00:50.34,Toowoomba,Good 4,53,0:0-0-0,171404,835883,922384,27393,13755,27393,13755,$21000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Shahi,3,Filly,Zoustar,Pleats,8,M Hellyer,2,Kacy Fogden,57,0,0x4748x,5:0-0-0,3: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,3:0-0-0,1:0-0-0,1:0-0-0,0:0-0-0,2:0-0-0,1:0-0-0,$7 380,4,Maiden,1000,Tom Sherry,4.9,18/02/20,Cup Day Tickets On Sale Mdn,1-Snitzinnati,7,4.4,00:58.22,Muswellbrook,Heavy 9,53,0:0-0-0,170950,833181,922384,27393,13755,27269,16493,$22000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Shahi,3,Filly,Zoustar,Pleats,8,M Hellyer,2,Kacy Fogden,57,0,0x4748x,5:0-0-0,3: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,3:0-0-0,1:0-0-0,1:0-0-0,0:0-0-0,2:0-0-0,1:0-0-0,$7 380,4,Maiden,1000,T Berry,1.3,29/01/20,Duck Creek Dash Mdn Hcp,1-Stolen Glance,4,4.2,00:57.51,Kembla Grange,Good 4,56,0:0-0-0,170691,831429,922384,27393,13755,27269,13842,$35000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Shahi,3,Filly,Zoustar,Pleats,8,M Hellyer,2,Kacy Fogden,57,0,0x4748x,5:0-0-0,3: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,3:0-0-0,1:0-0-0,1:0-0-0,0:0-0-0,2:0-0-0,1:0-0-0,$7 380,1,Group 3,1000,G Schofield,11.8,05/10/19,Keeneland Gimcrack Stakes,1-Every Rose,10,26,00:58.53,Randwick,Soft 6,56,0:0-0-0,168370,819950,922384,27393,13755,27269,12748,$160000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Asllani,3,Filly,Jabali,Norocos,9,S Cormack,7,G R Duncan,57,0,9,1:0-0-0,0: 0-0-0,1: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,0:0-0-0,$400,5,Maiden,1200,S Cormack,6.6,02/08/20,Furphy Mdn Plate,1-Georgie's Pride,9,10,01:13.82,Sunshine Coast,Soft 5,58,0:0-0-0,173072,846009,935793,10909,14303,10909,14303,$21000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Mishani Fortune,3,Filly,Denman,Gina Ballerina,10,Sheriden Tomlinson,8,L G Ross,55,2,08765,5:0-0-0,1: 0-0-0,1: 0-0-0,1: 0-0-0,0:0-0-0,2:0-0-0,2:0-0-0,1:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$2 450,1,Maiden,900,A Fancourt,7.1,08/08/20,Silkwood Homes Mdn,1-Sweet Rhapsody,5,21,00:54.47,Gold Coast,Heavy 9,55,0:0-0-0,173161,846477,921570,12485,16092,12485,14978,$21000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Mishani Fortune,3,Filly,Denman,Gina Ballerina,10,Sheriden Tomlinson,8,L G Ross,55,2,08765,5:0-0-0,1: 0-0-0,1: 0-0-0,1: 0-0-0,0:0-0-0,2:0-0-0,2:0-0-0,1:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$2 450,6,Maiden,800,L Tilley,6.0,24/07/20,Sirromet Mdn Hcp,1-Electric Dragon,6,26,00:45.58,Ipswich,Soft 7,56,0:0-0-0,172982,845383,921570,12485,16092,12485,15128,$21000
23/08/2020 00:00:00,Sunshine Coast,1,23-Aug-2020 12:30,1000,3yo,Maiden,0,Of $21000  -  1st  $11650 | 2nd  $3800| 3rd  $1900| 4th  $1000| 5th  $650,Fillies,Set Weight,Cellar Maintenance Aust. Mdn,Apprentices Can Claim,Mishani Fortune,3,Filly,Denman,Gina Ballerina,10,Sheriden Tomlinson,8,L G Ross,55,2,08765,5:0-0-0,1: 0-0-0,1: 0-0-0,1: 0-0-0,0:0-0-0,2:0-0-0,2:0-0-0,1:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$2 450,6,Open,900,A Thompson,6.1,08/05/20,Stronger Hcp,1-The Drinks Cart,7,201,00:51.12,Gold Coast,Good 4,53,0:0-0-0,171991,839553,921570,12485,16092,12485,16123,$65000
