meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,2,Class 3,1200,J Orman,2.3,12/08/20,Tab Long May We Play Hcp (C3),1-Ginger Rock,4,13,01:10.43,Doomben,Good 4,59,0:0-0-0,173190,846663,841605,5526,15252,5526,15252,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,5,Bench. 78,1400,J Orman,4.1,25/04/20,Tab (Bm78),1-Red Chase,10,26,01:24.55,Sunshine Coast,Good 4,56.5,0:0-0-0,171818,838597,841605,5526,15252,5526,15252,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,8,Class 3,1615,J Orman,1.3,04/04/20,Lexus Plate (C3),1-Watch The Cat,2,12,01:36.76,Doomben,Good 4,60,0:0-0-0,171598,837164,841605,5526,15252,5526,15252,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,4,Class 3,1500,J Orman,2.8,21/03/20,Memberships @ Brc Plate (C3),1-Watch The Cat,9,11,01:31.15,Eagle Farm,Good 4,59,0:0-0-0,171422,835981,841605,5526,15252,5526,15252,$50000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,4,Class 4,1350,J Orman,1.1,11/03/20,Memberships @ Brc Hcp (C4),1-Princess Cavallo,4,11,01:22.71,Doomben,Soft 7,59,0:0-0-0,171302,835208,841605,5526,15252,5526,15252,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,1,Class 4,1350,R Maloney,4.9,19/02/20,Ascot Childcare And Kindy (C4),1-Arterial,5,3.1,01:21.09,Doomben,Good 4,58,0:0-0-0,170961,833263,841605,5526,15252,5526,12986,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,3,Class 4,1350,Ron Stewart,0.5,30/01/20,Souths Sports Club Hcp (C4),2-Kitty Damour,1,6,01:21.28,Doomben,Good 4,56,0:0-0-0,170709,831509,841605,5526,15252,20552,12490,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,4,Bench. 75,1615,G Colless,1.5,16/01/20,Suez (Bm75),1-Slow Hands,4,10,01:39.09,Doomben,Soft 5,55.5,0:0-0-0,170520,830317,841605,5526,15252,20552,7739,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,6,Class 6,1350,M Mc Gillivray,4.8,09/01/20,Lunar New Year Raceday Hcp-C6,1-Smartypy,6,8,01:18.66,Doomben,Good 4,54,0:0-0-0,170420,829748,841605,5526,15252,20552,15328,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Metamorphic,7,Gelding,Fastnet Rock,Star Satire,1,James Orman,5,K M Schweida,59,0,464154920x4,29:3-6-4,6: 1-0-0,9: 1-1-0,6: 1-0-0,0:0-0-0,18:3-4-3,9:0-2-1,2:0-0-0,0:0-0-0,7:0-2-2,5:1-0-2,$159 020,8,Bench. 70,1350,R Fradd,0.7,01/01/20,Lunar New Year Raceday (Bm70),1-No Refund,4,9.5,01:20.49,Doomben,Good 4,58,0:0-0-0,170310,829025,841605,5526,15252,20552,13526,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Superbowl Sunday,5,Gelding,Snitzel,Vaquera,2,L V Cassidy,2,Chris Munce,58.5,0,5x149x3058x12,13:3-2-2,1: 0-0-0,2: 0-1-0,1: 0-0-0,0:0-0-0,11:3-1-2,2:0-1-0,0:0-0-0,0:0-0-0,4:2-0-2,4:0-2-0,$83 140,5,Class 3,1200,L V Cassidy,1.3,12/08/20,Tab Long May We Play Hcp (C3),1-Ginger Rock,2,4.4,01:10.43,Doomben,Good 4,58.5,0:0-0-0,173190,846663,878906,26480,2882,26480,2882,$35000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Superbowl Sunday,5,Gelding,Snitzel,Vaquera,2,L V Cassidy,2,Chris Munce,58.5,0,5x149x3058x12,13:3-2-2,1: 0-0-0,2: 0-1-0,1: 0-0-0,0:0-0-0,11:3-1-2,2:0-1-0,0:0-0-0,0:0-0-0,4:2-0-2,4:0-2-0,$83 140,2,Class 2,1200,L V Cassidy,0.5,30/07/20,Thoroughbred Sports Bar (C2),2-Still Invincible,1,6.5,01:11.31,Ipswich,Good 4,60,0:0-0-0,173036,845750,878906,26480,2882,26480,2882,$21000
26/08/2020 00:00:00,Doomben,1,26-Aug-2020 12:33,1350,,Class 3,54,Of $35000  -  1st  $19800 | 2nd  $6400| 3rd  $3200| 4th  $1900| 5th  $1200,,Handicap,Tab Long May We Play Hcp (C3),Apprentices Can Claim,Superbowl Sunday,5,Gelding,Snitzel,Vaquera,2,L V Cassidy,2,Chris Munce,58.5,0,5x149x3058x12,13:3-2-2,1: 0-0-0,2: 0-1-0,1: 0-0-0,0:0-0-0,11:3-1-2,2:0-1-0,0:0-0-0,0:0-0-0,4:2-0-2,4:0-2-0,$83 140,5,Class 2,1350,J Orman,5.9,11/03/20,Eva Air Hcp (C2),1-Tesarc,8,6,01:22.93,Doomben,Soft 7,58,0:0-0-0,171302,835211,878906,26480,2882,26822,15252,$35000
