meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Game Theory,3,Gelding,So You Think,Lofiel,1,R Dolan,11,G Ryan & S Alexiou,58,0,2,1:0-1-0,1: 0-1-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,0:0-0-0,1:0-1-0,0:0-0-0,1:0-1-0,0:0-0-0,$8 950,5,Maiden,1300,R Dolan,3.5,12/08/20,Frosted @ Darley Mdn Hcp,1-Joviality,2,7.5,01:19.63,Warwick Farm,Heavy 9,57,0:0-0-0,173207,846697,910216,27705,11741,13457,11741,$50000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Yangtze Rapids,3,Colt,Frankel,Kahara River,4,S Clipperton,10,C J Waller,57.5,0,36,2:0-0-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-1,1:0-0-0,0:0-0-0,0:0-0-0,1:0-0-1,1:0-0-0,$7 700,8,Open,1400,J Bowman,5.7,06/06/20,Castelvecchio @ Arrowfield Hcp,1-Achiever,6,8,01:26.57,Randwick,Soft 7,57,0:0-0-0,172448,841882,921843,20552,14610,20552,11667,$100000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Yangtze Rapids,3,Colt,Frankel,Kahara River,4,S Clipperton,10,C J Waller,57.5,0,36,2:0-0-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-1,1:0-0-0,0:0-0-0,0:0-0-0,1:0-0-1,1:0-0-0,$7 700,2,Open,1400,B Avdulla,0.6,13/05/20,Exceedance @ Vinery Hcp,1-Acrophobic,3,9.5,01:23.08,Warwick Farm,Good 4,56.5,0:0-0-0,172046,839874,921843,20552,14610,20552,14014,$45000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Much Much Better,3,Gelding,Stratum,Dayeala,6,Rachel King,3,J A O'Shea,57,0,524x,3:0-1-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,1:0-1-0,2:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$11 130,8,Maiden,1300,S Guymer,4.0,04/04/20,Ascend Sales Trophies Mdn,1-Postcode,4,5.5,01:17.96,Hawkesbury,Heavy 9,58.5,0:0-0-0,171613,837242,917730,21753,15609,21753,14459,$35000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Much Much Better,3,Gelding,Stratum,Dayeala,6,Rachel King,3,J A O'Shea,57,0,524x,3:0-1-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,1:0-1-0,2:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$11 130,5,Open,1400,J Bowman,0.2,06/03/20,Sharp Electronics Group Hcp,1-Montefilia,2,4.2,01:24.05,Newcastle,Soft 5,57,0:0-0-0,171216,834715,917730,21753,15609,21753,11667,$40000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Much Much Better,3,Gelding,Stratum,Dayeala,6,Rachel King,3,J A O'Shea,57,0,524x,3:0-1-0,2: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,1:0-1-0,2:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$11 130,3,Maiden,1300,T Marquand,6.5,12/02/20,Tab Mdn,1-Bazooka,5,4.8,01:18.80,Warwick Farm,Heavy 9,57,0:0-0-0,170868,832607,917730,21753,15609,21753,15796,$50000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Psychic,3,Filly,Adelaide,Vinay,7,J B Mc Donald,2,C J Waller,56,0,42,2:0-1-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,0:0-0-0,2:0-1-0,0:0-0-0,1:0-0-0,1:0-1-0,$11 295,10,Maiden,1250,S Clipperton,0.8,24/06/20,Harry Angel @ Darley Mdn Hcp,1-Sprout Wings,2,15,01:17.10,Canterbury,Heavy 9,56.5,0:0-0-0,172656,843197,931618,20552,14073,20552,14610,$45000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Psychic,3,Filly,Adelaide,Vinay,7,J B Mc Donald,2,C J Waller,56,0,42,2:0-1-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,0:0-0-0,2:0-1-0,0:0-0-0,1:0-0-0,1:0-1-0,$11 295,8,Maiden,1200,S Clipperton,3.2,08/06/20,Sky Racing Active Mdn Plate,1-Silhouette,4,11,01:13.07,Warwick Farm,Heavy 8,56,0:0-0-0,172463,842004,931618,20552,14073,20552,14610,$54000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Adamas Prince,3,Gelding,War,Kiara Wonder,8,Regan Bayliss,5,Edward Cummings,55.5,0,5x36,3:0-0-1,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,2:0-0-1,0:0-0-0,2:0-0-1,1:0-0-0,$6 150,6,Maiden,1300,J R Collett,7.8,12/08/20,Frosted @ Darley Mdn Hcp,1-Joviality,6,15,01:19.63,Warwick Farm,Heavy 9,56,0:0-0-0,173207,846697,928060,27235,15209,27235,14123,$50000
26/08/2020 00:00:00,Randwick-Kensington,1,26-Aug-2020 13:25,1300,3yo,Maiden,54,Of $50000  -  1st  $22000 | 2nd  $8950| 3rd  $5000| 4th  $3400| 5th  $2000,,Handicap,Casino Prince @ Vinery Mdn Hcp,Apprentices Can Claim,Adamas Prince,3,Gelding,War,Kiara Wonder,8,Regan Bayliss,5,Edward Cummings,55.5,0,5x36,3:0-0-1,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,2:0-0-1,0:0-0-0,2:0-0-1,1:0-0-0,$6 150,6,Class 1,1100,J R Collett,0.8,30/07/20,Nsw Jockey's Association (C1),1-Cathay,3,31,01:07.40,Hawkesbury,Heavy 9,55,0:0-0-0,173037,845758,928060,27235,15209,27235,14123,$35000
