meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,10,Bench. 78,2500,W Egan,13.8,22/08/20,Inglis 2021 Yearling Sale-Bm78,1-Roland Garros,5,21,02:48.63,Moonee Valley,Heavy 10,56,0:0-0-0,173294,847383,884807,26914,13699,26914,13699,$135000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,2,Open,2530,Ms M Payne,4.9,08/08/20,Tab Hcp,1-Exemplar,4,21,02:45.74,Flemington,Soft 7,56,0:0-0-0,173120,846351,884807,26914,13699,26914,12547,$135000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,3,Bench. 78,2400,Ms M Payne,0.7,29/07/20,Brb Electrical (Bm78),1-Converging,4,4,02:33.42,Bendigo,Good 4,56.5,0:0-0-0,173031,845701,884807,26914,13699,26914,12547,$31500
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,2,Bench. 78,2400,Ms M Payne,7.7,24/06/20,Mrc Foundation (Bm78),1-Yulong Captain,9,15,02:37.72,Sandown-Hillside,Heavy 8,56,0:0-0-0,172655,843192,884807,26914,13699,26914,12547,$40000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,8,Bench. 64,2000,W Egan,0.1,31/05/20,Stamford Tyres (Bm64),2-Fiorente Lass,1,2,02:11.74,Ballarat,Soft 7,59.5,0:0-0-0,172403,841564,884807,26914,13699,26914,13699,$31500
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,8,Bench. 70,2060,W Egan,6.1,22/05/20,Barton Fixing (Bm70),1-Stellar Impact,5,3.8,02:12.89,Cranbourne,Heavy 9,58.5,0:0-0-0,172248,840798,884807,26914,13699,26914,13699,$31500
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,7,Bench. 64,1610,W Egan,1.0,07/05/20,Harcourts Werribee (Bm64),2-Floreat Pica,1,2.4,01:41.87,Werribee,Soft 7,57.5,0:0-0-0,171974,839448,884807,26914,13699,26914,13699,$31500
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,4,Bench. 64,1600,W Egan,2.0,23/04/20,Trusteel Fabrications (Bm64),2-Grinzinger Allee,1,13,01:40.38,Racing.Com Park,Soft 5,56,0:0-0-0,171811,838538,884807,26914,13699,26914,13699,$31500
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,10,Bench. 58,1700,J Martin,2.5,27/03/20,Whalers Hotel (Bm58),1-Excelsior Star,3,8,01:47.22,Warrnambool,Soft 6,58.5,0:0-0-0,171517,836633,884807,26914,13699,26914,15238,$22000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Flag Edition,6,Mare,Raise The Flag,Ears Carol,1,W Egan,1,Michelle Payne,61.5,0,6x311519445,14:4-1-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:3-1-1,3:0-0-0,0:0-0-0,3:0-1-1,2:2-0-0,$95 150,5,Bench. 70,2400,W Egan,16.1,23/10/19,Avalon Airport (Bm70),1-Vellaspride,6,7.5,02:30.69,Geelong,Good 4,54,0:0-0-0,169001,822201,884807,26914,13699,26914,13699,$35000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,9,Bench. 64,2400,J Kah,5.0,19/08/20,Ladbrokes Back Yourself (Bm64),1-Lofty Heights,2,5.5,02:36.06,Sandown-Lakeside,Heavy 8,61,0:0-0-0,173270,847192,915486,23613,15027,23613,15027,$50000
