meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Uncanny Timing,4,Gelding,Sessions,Exquisite Timing,1,T Turner,3,C H Webster,58,0,7x3234x24,7:0-2-2,0: 0-0-0,1: 0-1-0,0: 0-0-0,0:0-0-0,6:0-2-1,1:0-0-1,0:0-0-0,0:0-0-0,3:0-1-1,2:0-1-0,$13 045,2,Maiden,1000,T Turner,1.9,08/08/20,Free Entry To Belmont Park Mdn,1-Foxhood,4,4.2,00:59.86,Belmont Park,Good 4,58,0:0-0-0,173125,846395,896919,802,10117,802,10117,$30000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Uncanny Timing,4,Gelding,Sessions,Exquisite Timing,1,T Turner,3,C H Webster,58,0,7x3234x24,7:0-2-2,0: 0-0-0,1: 0-1-0,0: 0-0-0,0:0-0-0,6:0-2-1,1:0-0-1,0:0-0-0,0:0-0-0,3:0-1-1,2:0-1-0,$13 045,4,Maiden,1000,T Turner,0.4,30/07/20,Mane Event Cafe & Catering Mdn,1-Amasenus,2,3.3,00:58.24,Northam,Good 4,58,0:0-0-0,173034,845735,896919,802,10117,802,10117,$16000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Uncanny Timing,4,Gelding,Sessions,Exquisite Timing,1,T Turner,3,C H Webster,58,0,7x3234x24,7:0-2-2,0: 0-0-0,1: 0-1-0,0: 0-0-0,0:0-0-0,6:0-2-1,1:0-0-1,0:0-0-0,0:0-0-0,3:0-1-1,2:0-1-0,$13 045,6,Maiden,1200,T Turner,3.0,12/03/20,Tabtouch - Better Your Bet Mdn,1-Dignity Bay,4,2.6,01:11.80,Pinjarra,Good 4,57,0:0-0-0,171307,835247,896919,802,10117,802,10117,$20000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Uncanny Timing,4,Gelding,Sessions,Exquisite Timing,1,T Turner,3,C H Webster,58,0,7x3234x24,7:0-2-2,0: 0-0-0,1: 0-1-0,0: 0-0-0,0:0-0-0,6:0-2-1,1:0-0-1,0:0-0-0,0:0-0-0,3:0-1-1,2:0-1-0,$13 045,3,Maiden,1008,T Turner,3.8,27/02/20,Mgm Limestone Mdn,1-Son Of A God,3,2.5,00:59.89,Bunbury,Soft 5,57,0:0-0-0,171073,833925,896919,802,10117,802,10117,$20000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Uncanny Timing,4,Gelding,Sessions,Exquisite Timing,1,T Turner,3,C H Webster,58,0,7x3234x24,7:0-2-2,0: 0-0-0,1: 0-1-0,0: 0-0-0,0:0-0-0,6:0-2-1,1:0-0-1,0:0-0-0,0:0-0-0,3:0-1-1,2:0-1-0,$13 045,2,Maiden,1000,T Turner,0.3,12/02/20,Western Racepix Mdn,1-Excelestial,2,2.7,00:59.96,Ascot,Good 4,57,0:0-0-0,170876,832670,896919,802,10117,802,10117,$20000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Uncanny Timing,4,Gelding,Sessions,Exquisite Timing,1,T Turner,3,C H Webster,58,0,7x3234x24,7:0-2-2,0: 0-0-0,1: 0-1-0,0: 0-0-0,0:0-0-0,6:0-2-1,1:0-0-1,0:0-0-0,0:0-0-0,3:0-1-1,2:0-1-0,$13 045,12,Maiden,1000,A Castle,3.3,22/01/20,Western Racepix Mdn,1-Long Beach,3,21,00:59.34,Ascot,Good 4,56.5,0:0-0-0,170604,830825,896919,802,10117,15086,14512,$20000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Uncanny Timing,4,Gelding,Sessions,Exquisite Timing,1,T Turner,3,C H Webster,58,0,7x3234x24,7:0-2-2,0: 0-0-0,1: 0-1-0,0: 0-0-0,0:0-0-0,6:0-2-1,1:0-0-1,0:0-0-0,0:0-0-0,3:0-1-1,2:0-1-0,$13 045,9,Rest 0 Metro Wins,1200,P Knuckey,8.5,17/07/19,Tabtouch-Better Your Bet-Rs0mw,1-Bogart,7,19,01:12.47,Belmont Park,Good 4,56,0:0-0-0,167283,813627,896919,802,10117,15086,9738,$24500
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Ginger Mack,5,Gelding,Gingerbread Man,Sharne,2,B Parnham,11,Greg Cave,58,0,0x553638x787,12:0-0-2,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,8:0-0-2,4:0-0-0,0:0-0-0,0:0-0-0,3:0-0-0,3:0-0-0,$5 625,13,Maiden,1300,S O'Donnell,5.3,06/08/20,Mike Wilson Mdn,1-Bon Odyssey,7,71,01:19.05,Pinjarra,Soft 5,58,0:0-0-0,173101,846206,904302,27577,13271,27577,4615,$20000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Ginger Mack,5,Gelding,Gingerbread Man,Sharne,2,B Parnham,11,Greg Cave,58,0,0x553638x787,12:0-0-2,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,8:0-0-2,4:0-0-0,0:0-0-0,0:0-0-0,3:0-0-0,3:0-0-0,$5 625,6,Class 1,1300,S O'Donnell,8.2,22/07/20,Tabtouch Better Your Bet (C1),1-Ohbeeh,8,61,01:18.63,Belmont Park,Soft 5,57.5,0:0-0-0,172957,845189,904302,27577,13271,27577,4615,$20000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Ginger Mack,5,Gelding,Gingerbread Man,Sharne,2,B Parnham,11,Greg Cave,58,0,0x553638x787,12:0-0-2,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,8:0-0-2,4:0-0-0,0:0-0-0,0:0-0-0,3:0-0-0,3:0-0-0,$5 625,1,Maiden,1000,K Bennett,4.6,08/07/20,Schweppes Mdn,1-Dune Messiah,7,10,00:59.11,Belmont Park,Soft 6,55,0:0-0-0,172799,844196,904302,27577,13271,27577,15548,$16000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Ginger Mack,5,Gelding,Gingerbread Man,Sharne,2,B Parnham,11,Greg Cave,58,0,0x553638x787,12:0-0-2,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,8:0-0-2,4:0-0-0,0:0-0-0,0:0-0-0,3:0-0-0,3:0-0-0,$5 625,8,Maiden,1200,K Bennett,3.6,29/02/20,Amelia Park Mdn,1-The Honeyman,8,8,01:11.96,Ascot,Soft 5,55,0:0-0-0,171120,834211,904302,27577,13271,6360,15548,$30000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Ginger Mack,5,Gelding,Gingerbread Man,Sharne,2,B Parnham,11,Greg Cave,58,0,0x553638x787,12:0-0-2,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,8:0-0-2,4:0-0-0,0:0-0-0,0:0-0-0,3:0-0-0,3:0-0-0,$5 625,6,Maiden,1000,K Bennett,1.3,12/02/20,Western Racepix Mdn,1-Excelestial,3,26,00:59.96,Ascot,Good 4,55,0:0-0-0,170876,832670,904302,27577,13271,6360,15548,$20000
27/08/2020 00:00:00,Northam,1,27-Aug-2020 13:34,1100,3yo+,Maiden,0,Of $20000  -  1st  $11800 | 2nd  $4000| 3rd  $1800| 4th  $800| 5th  $400,,Set Weight,Ag Implements Northam Mdn,Apprentices Can Claim,Ginger Mack,5,Gelding,Gingerbread Man,Sharne,2,B Parnham,11,Greg Cave,58,0,0x553638x787,12:0-0-2,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,8:0-0-2,4:0-0-0,0:0-0-0,0:0-0-0,3:0-0-0,3:0-0-0,$5 625,13,Maiden,1409,J Turner,1.1,23/01/20,Risky Business Wines Mdn,1-Sunol,6,11,01:26.13,Pinjarra,Good 4,58,0:0-0-0,170608,830869,904302,27577,13271,6360,15458,$20000
