meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,7,Open,2530,J Allen,1.3,08/08/20,Tab Hcp,2-Double You Tee,1,7,02:45.74,Flemington,Soft 7,56.5,0:0-0-0,173120,846351,864620,27269,14854,27269,14854,$135000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,4,Open,2800,J Allen,0.1,18/07/20,Flemington Cup 1849,2-Sin To Win,1,21,02:58.64,Flemington,Soft 5,56,0:0-0-0,172904,844852,864620,27269,14854,27269,14854,$108000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,8,Bench. 84,2100,T Nugent,7.7,01/07/20,Ladbrokes Cash In (Bm84),1-Maliseet,6,51,02:14.18,Sandown-Lakeside,Soft 5,58,0:0-0-0,172716,843648,864620,27269,14854,27269,16002,$40000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,5,Maiden Hurdle,3200,S Pateman,12.3,05/05/20,Whalers Hotel Mdn Hrdl,1-Scholarly,3,5,03:43.28,Warrnambool,Soft 7,68.5,0:0-0-0,171950,839345,864620,27269,14854,27269,12609,$31500
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,9,Hurdle,3200,S Pateman,0.0,19/04/20,Ecycle Solutions 1jw Hrdl,1-Runaway,99,4.2,03:42.99,Racing.Com Park Syn,Soft 5,68.5,0:0-0-0,171766,838277,864620,27269,14854,27269,12609,$31500
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,2,Bench. 96,2800,M J Dee,20.7,05/11/19,The Macca's Run (Bm96),1-Shared Ambition,13,13,02:57.48,Flemington,Soft 6,54,0:0-0-0,169353,823760,864620,27269,14854,27164,15233,$135000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,1,Bench. 84,2407,J Kah,4.3,16/10/19,Nick Johnstone R/Estate-Bm84,1-Shared Ambition,3,9,02:30.62,Caulfield,Good 4,60,0:0-0-0,168852,821485,864620,27269,14854,27164,15027,$135000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,5,Listed,2400,J Kah,0.5,28/09/19,R.M. Ansett Classic,1-Valac,2,9,02:29.89,Mornington,Good 4,54,0:0-0-0,168297,819440,864620,27269,14854,27164,15027,$140000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,4,Open,2500,J Kah,4.1,14/09/19,Very Special Kids Pin & Win,1-Alfarris,8,7.5,02:36.51,Flemington,Good 4,54,0:0-0-0,168036,818200,864620,27269,14854,27164,15027,$135000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Exemplar,7,Gelding,Galileo,Miarixa,1,John Allen,3,C Maher & D Eustace,60,0,28230x03611,19:3-4-3,4: 0-3-1,2: 0-1-1,2: 0-1-1,0:0-0-0,6:0-2-1,12:3-2-2,1:0-0-0,2:0-0-1,5:0-1-0,4:1-0-1,$275 281,6,Open,2400,J Kah,1.5,31/08/19,Symo's 50th Hcp,1-Another Coldie,2,4.2,02:30.09,Caulfield,Good 4,54,0:0-0-0,167869,817107,864620,27269,14854,27164,15027,$135000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Double You Tee,6,Gelding,Written Tycoon,Kandy Korn,2,W Egan,1,Patrick Payne,59,0,222x0725032,33:8-10-3,1: 0-0-1,3: 1-0-1,1: 0-0-1,0:0-0-0,15:5-3-3,12:2-6-0,5:1-1-0,0:0-0-0,5:2-0-1,5:0-1-1,$533 190,6,Open,2530,W Egan,1.3,08/08/20,Tab Hcp,1-Exemplar,2,4.8,02:45.74,Flemington,Soft 7,57.5,1:0-0-0,173120,846351,855555,24727,13699,24727,13699,$135000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Double You Tee,6,Gelding,Written Tycoon,Kandy Korn,2,W Egan,1,Patrick Payne,59,0,222x0725032,33:8-10-3,1: 0-0-1,3: 1-0-1,1: 0-0-1,0:0-0-0,15:5-3-3,12:2-6-0,5:1-1-0,0:0-0-0,5:2-0-1,5:0-1-1,$533 190,10,Open,2394,B Rawiller,3.1,25/07/20,L Owens Vobis Gold Stayers,1-Mahamedeis,3,3.9,02:30.24,Caulfield,Good 4,60,1:0-0-0,172986,845429,855555,24727,13699,24727,11013,$120000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Double You Tee,6,Gelding,Written Tycoon,Kandy Korn,2,W Egan,1,Patrick Payne,59,0,222x0725032,33:8-10-3,1: 0-0-1,3: 1-0-1,1: 0-0-1,0:0-0-0,15:5-3-3,12:2-6-0,5:1-1-0,0:0-0-0,5:2-0-1,5:0-1-1,$533 190,3,Open,2000,W Egan,4.4,18/07/20,Happy Retirement Pat Hyland,1-Creedence,10,4.6,02:05.66,Flemington,Soft 5,57,1:0-0-0,172904,844855,855555,24727,13699,24727,13699,$108000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Double You Tee,6,Gelding,Written Tycoon,Kandy Korn,2,W Egan,1,Patrick Payne,59,0,222x0725032,33:8-10-3,1: 0-0-1,3: 1-0-1,1: 0-0-1,0:0-0-0,15:5-3-3,12:2-6-0,5:1-1-0,0:0-0-0,5:2-0-1,5:0-1-1,$533 190,1,Open,2000,T Hope,3.3,27/06/20,Neds Money Back Odds Hcp,1-Mirimar,5,9,02:07.03,Caulfield,Soft 6,58,1:0-0-0,172675,843352,855555,24727,13699,24727,15585,$108000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Double You Tee,6,Gelding,Written Tycoon,Kandy Korn,2,W Egan,1,Patrick Payne,59,0,222x0725032,33:8-10-3,1: 0-0-1,3: 1-0-1,1: 0-0-1,0:0-0-0,15:5-3-3,12:2-6-0,5:1-1-0,0:0-0-0,5:2-0-1,5:0-1-1,$533 190,5,Open,2040,W Egan,2.3,13/06/20,Inglis July Sales Series Hcp,1-Harbour Views,2,15,02:08.75,Moonee Valley,Soft 6,57.5,1:0-0-0,172534,842395,855555,24727,13699,24727,13699,$108000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Double You Tee,6,Gelding,Written Tycoon,Kandy Korn,2,W Egan,1,Patrick Payne,59,0,222x0725032,33:8-10-3,1: 0-0-1,3: 1-0-1,1: 0-0-1,0:0-0-0,15:5-3-3,12:2-6-0,5:1-1-0,0:0-0-0,5:2-0-1,5:0-1-1,$533 190,12,Open,1600,W Egan,7.2,23/05/20,Apache Cat Hcp,1-Reykjavik,7,21,01:38.63,Flemington,Heavy 8,57,1:0-0-0,172251,840821,855555,24727,13699,24727,13699,$100000
29/08/2020 00:00:00,Caulfield,1,29-Aug-2020 11:45,2400,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Handicap,Neds Same Race Multi Hcp,Apprentices Can Claim,Double You Tee,6,Gelding,Written Tycoon,Kandy Korn,2,W Egan,1,Patrick Payne,59,0,222x0725032,33:8-10-3,1: 0-0-1,3: 1-0-1,1: 0-0-1,0:0-0-0,15:5-3-3,12:2-6-0,5:1-1-0,0:0-0-0,5:2-0-1,5:0-1-1,$533 190,2,Open,1400,W Egan,12.5,02/05/20,Ladbrokes Money Back Odds Hcp,1-Buffalo River,12,12,01:27.35,Sandown-Lakeside,Heavy 9,57,1:0-0-0,171908,839105,855555,24727,13699,24727,13699,$100000
