meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Canford's Sun,4,Gelding,Canford Cliffs,Salasun,1,J Keating,6,Keith Bourke,59.5,0,52245x,5:0-2-0,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-2-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$12 452,2,Maiden,1200,J Keating,9.0,04/05/20,Steves Liquor Echuca Mdn Plate,1-Shadow Goddess,5,3.5,01:13.74,Echuca,Soft 7,59.5,0:0-0-0,171949,839336,915568,8608,3728,8608,3728,$20700
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Canford's Sun,4,Gelding,Canford Cliffs,Salasun,1,J Keating,6,Keith Bourke,59.5,0,52245x,5:0-2-0,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-2-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$12 452,9,Maiden,1200,J Keating,1.6,17/04/20,Jillian Goodge Mdn Plate,1-Young Cliffy,4,4,01:12.26,Kyneton,Good 4,58,0:0-0-0,171744,838129,915568,8608,3728,8608,3728,$20700
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Canford's Sun,4,Gelding,Canford Cliffs,Salasun,1,J Keating,6,Keith Bourke,59.5,0,52245x,5:0-2-0,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-2-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$12 452,1,Maiden,1200,J Keating,1.5,05/04/20,Echuca Cih Mdn Plate,1-Voyage De Lune,2,4,01:14.27,Echuca,Soft 7,58,0:0-0-0,171618,837282,915568,8608,3728,8608,3728,$35000
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Canford's Sun,4,Gelding,Canford Cliffs,Salasun,1,J Keating,6,Keith Bourke,59.5,0,52245x,5:0-2-0,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-2-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$12 452,5,Maiden,1100,J Keating,0.2,23/01/20,Winsec Savings & Loans Mdn,1-Last Hope,2,3.7,01:05.24,Wangaratta,Soft 5,57,0:0-0-0,170613,830902,915568,8608,3728,8608,3728,$23000
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Canford's Sun,4,Gelding,Canford Cliffs,Salasun,1,J Keating,6,Keith Bourke,59.5,0,52245x,5:0-2-0,1: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-2-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-1-0,$12 452,14,Maiden,1000,J Keating,6.6,31/12/19,Two Tarts Catering Mdn Plate,1-Llessur,5,11,00:59.92,Echuca,Good 4,58,0:0-0-0,170284,828872,915568,8608,3728,8608,3728,$23000
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Dreams And Schemes,4,Gelding,Dream Ahead,Pas De Retraite,2,M J Dee,5,N A Blackiston,59.5,0,84058x,5:0-0-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$3 125,3,Maiden,1200,M J Dee,9.4,06/11/19,Cams Security Mdn Plate,1-Zorro's Dream,8,31,01:13.27,Kyneton,Soft 7,58,0:0-0-0,169405,824012,908042,18314,15233,18314,15233,$35000
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Dreams And Schemes,4,Gelding,Dream Ahead,Pas De Retraite,2,M J Dee,5,N A Blackiston,59.5,0,84058x,5:0-0-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$3 125,4,Maiden,1400,J Fry,4.5,11/10/19,Suez Mdn Plate,1-Russian Camelot,5,15,01:26.36,Ballarat,Good 4,58,0:0-0-0,168710,820975,908042,18314,15233,18314,13968,$23000
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Dreams And Schemes,4,Gelding,Dream Ahead,Pas De Retraite,2,M J Dee,5,N A Blackiston,59.5,0,84058x,5:0-0-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$3 125,14,Maiden,1200,J Childs,8.1,20/09/19,Bet365 Kyneton Cup Mdn Plate,1-Roger's Day,12,21,01:12.45,Kyneton,Soft 5,58,0:0-0-0,168150,818828,908042,18314,15233,18314,15041,$35000
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Dreams And Schemes,4,Gelding,Dream Ahead,Pas De Retraite,2,M J Dee,5,N A Blackiston,59.5,0,84058x,5:0-0-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$3 125,6,Maiden,1200,J Childs,3.2,26/08/19,Bet365 Mdn Plate,1-Roederer,4,8.5,01:10.73,Swan Hill,Good 4,58,0:0-0-0,167805,816807,908042,18314,15233,18314,15041,$23000
03/09/2020 00:00:00,Ballarat Synthetic,1,03-Sep-2020 13:30,1000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Cervus Equipment Mdn,Apprentices Can Claim,Dreams And Schemes,4,Gelding,Dream Ahead,Pas De Retraite,2,M J Dee,5,N A Blackiston,59.5,0,84058x,5:0-0-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,2:0-0-0,3:0-0-0,0:0-0-0,0:0-0-0,1:0-0-0,1:0-0-0,$3 125,3,Maiden,1200,N Farley,4.9,07/08/19,Tm Design Group Mdn Plate,1-The Lifeline,8,19,01:11.79,Cranbourne,Soft 5,58,0:0-0-0,167532,815203,908042,18314,15233,18314,16129,$35000
