meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,5,Group 3,1100,R Dolan,2.5,22/08/20,Bowermans Toy Show Qlty,1-Sweet Deal,8,16,01:04.44,Randwick,Soft 6,53,0:0-0-0,173289,847338,868997,22477,9718,22477,11741,$160000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,13,Rest 0 Metro Wins,1200,J Orman,1.3,01/08/20,Brc Membership Renewal (Rs0mw),1-Socialising,2,6,01:10.09,Eagle Farm,Good 4,60,0:0-0-0,173046,845828,868997,22477,9718,12617,15252,$75000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,2,Class 6,1000,B Thornton,0.1,11/07/20,Kendrick Racing Plate (C6),1-Tullio,2,4.4,00:59.75,Sunshine Coast,Heavy 9,58,0:0-0-0,172820,844301,868997,22477,9718,12617,15340,$65000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,4,Class 5,1110,B Thornton,1.3,16/01/20,Eva Air Hcp (C5),2-Best Guess,1,2.05,01:05.13,Doomben,Soft 5,56.5,0:0-0-0,170520,830316,868997,22477,9718,12617,15340,$35000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,6,Listed,1200,B Thornton,1.2,28/12/19,Magic Millions Nudgee Stakes,1-Tahitian Dancer,6,51,01:09.87,Eagle Farm,Good 3,55.5,0:0-0-0,170187,828630,868997,22477,9718,12617,15340,$200000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,9,Rest 0 Metro Wins,1000,C Newitt,1.1,14/12/19,Tab(Rs0mw),1-Vienna Power,5,5,00:56.84,Eagle Farm,Good 4,55,0:0-0-0,169986,827344,868997,22477,9718,12617,12423,$75000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,4,Bench. 78,1110,C Bayliss,2.4,30/11/19,Brc Christmas Movies (Bm78),1-Boomtown Lass,5,7,01:03.66,Doomben,Good 4,54,0:0-0-0,169726,826006,868997,22477,9718,12617,15811,$75000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,3,Class 6,1200,Jag Guthmann-Chester,3.9,27/07/19,Never Forgotten Plate (C6),1-Adoradancer,5,7,01:11.79,Eagle Farm,Good 3,56,0:0-0-0,167400,814317,868997,22477,9718,10325,15580,$75000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,11,Rest 0 Metro Wins,1200,A Allen,9.0,13/07/19,Www.Brc.Com.Au (Rs0mw),1-Pippie,10,8,01:10.34,Doomben,Good 4,57.5,0:0-0-0,167227,813238,868997,22477,9718,10325,14536,$75000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Musical Genius,6,Mare,Swiss Ace,Symphony,1,N Rawiller,9,Joseph Pride,60,0,105x5561x228,19:6-3-1,6: 2-0-0,2: 0-0-0,2: 0-0-0,0:0-0-0,12:3-2-1,5:2-0-0,2:1-1-0,0:0-0-0,6:2-2-0,5:1-1-1,$151 930,5,Bench. 75,1200,A Allen,2.5,22/06/19,Happy 50th Dave Curran (Bm75),2-Amenzel,1,2,01:09.83,Gold Coast,Good 4,56.5,0:0-0-0,166979,811674,868997,22477,9718,10325,14536,$30000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,6,Bench. 72,1100,Tom Sherry,1.0,19/08/20,Joe Sharabati (Bm72),2-Hulk,1,7,01:06.36,Canterbury,Heavy 8,56.5,0:0-0-0,173269,847185,879508,25136,3408,25136,16493,$50000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,5,Bench. 72,1100,J Van Overmeire,0.5,05/08/20,Exceedance @ Vinery (Bm72),1-Kookabaa,4,16,01:07.19,Canterbury,Soft 7,58,0:0-0-0,173095,846151,879508,25136,3408,25136,15855,$50000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,6,Bench. 78,1000,J Van Overmeire,2.3,18/07/20,Tab Live Vision (Bm78),1-Spaceboy,6,26,00:59.58,Randwick-Kensington,Heavy 8,54,0:0-0-0,172900,844818,879508,25136,3408,25136,15855,$125000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,1,Bench. 74,1100,J Van Overmeire,1.2,28/02/20,Kia Sprint Series Final (Bm74),1-Intrepidacious,5,4.2,01:04.50,Canterbury,Good 4,57,0:0-0-0,171096,834113,879508,25136,3408,25136,15855,$80000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,11,Bench. 70,1100,J Van Overmeire,0.1,21/02/20,Sky Racing Active (Bm70),2-Glamour Cat,1,7,01:05.19,Canterbury,Soft 6,59,0:0-0-0,171005,833494,879508,25136,3408,25136,15855,$50000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,4,Bench. 72,1100,J Van Overmeire,0.2,07/02/20,Australian Chinese J.C. (Bm72),1-Perigord,2,7.5,01:06.55,Canterbury,Heavy 9,55.5,0:0-0-0,170804,832225,879508,25136,3408,25136,15855,$50000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,8,Bench. 70,1100,C C Williams,2.9,22/01/20,Schweppes (Bm70),1-Texas Forever,4,31,01:04.80,Canterbury,Good 4,56.5,0:0-0-0,170593,830783,879508,25136,3408,25136,15803,$50000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,4,Bench. 78,1100,N Rawiller,4.8,04/01/20,Schweppes (Bm78),1-Lashes,7,71,01:03.11,Randwick-Kensington,Good 4,56,0:0-0-0,170355,829344,879508,25136,3408,25136,9718,$125000
05/09/2020 00:00:00,Randwick,1,05-Sep-2020 12:15,1100,4yo+,Benchmark 78,54,Of $125000  -  1st  $58000 | 2nd  $23000| 3rd  $12000| 4th  $6500| 5th  $5000,Mares,Handicap,Schweppes (Bm78),Apprentices Can Claim,Buckin' Beauty,5,Mare,Delago Deluxe,Lucky Beauty,2,Ms M Weir,8,D Lane,56.5,3,1774215x641,27:5-6-3,12: 3-2-0,0: 0-0-0,0: 0-0-0,0:0-0-0,17:3-5-1,7:1-0-2,3:1-1-0,0:0-0-0,5:0-2-2,5:2-1-0,$191 380,2,Open,1200,J R Collett,16.5,12/12/19,Magic Millions Wyong Stakes,1-Diamond Thunder,7,51,01:09.28,Wyong,Good 4,57,0:0-0-0,169966,827233,879508,25136,3408,25136,14123,$100000
