meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,China Grove,4,Gelding,Skilled,Twinciti,1,Jack Martin,7,Paul Rocke,59.5,0,4x34,3:0-0-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-0,1:0-0-1,1:0-0-0,0:0-0-0,2:0-0-1,1:0-0-0,$5 447,7,Maiden,2219,J Martin,8.7,13/08/20,Ladbrokes Back Yourself Mdn,1-Sublime Diva,4,4.4,02:26.30,Sale,Heavy 8,59.5,0:0-0-0,173214,846762,931738,24798,15238,24798,15238,$35000
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,China Grove,4,Gelding,Skilled,Twinciti,1,Jack Martin,7,Paul Rocke,59.5,0,4x34,3:0-0-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-0,1:0-0-1,1:0-0-0,0:0-0-0,2:0-0-1,1:0-0-0,$5 447,9,Maiden,2050,J Martin,3.6,19/07/20,Steeline Roofing Albury Mdn,1-Think More,3,12,02:08.31,Wodonga,Soft 6,58.5,0:0-0-0,172932,845061,931738,24798,15238,24798,15238,$20700
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,China Grove,4,Gelding,Skilled,Twinciti,1,Jack Martin,7,Paul Rocke,59.5,0,4x34,3:0-0-1,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,1:0-0-0,1:0-0-1,1:0-0-0,0:0-0-0,2:0-0-1,1:0-0-0,$5 447,1,Maiden,1850,J Eaton,2.0,17/04/20,Anne Beattie Mdn Plate,1-Preipo,4,31,01:56.72,Kyneton,Good 4,58,0:0-0-0,171744,838131,931738,24798,15238,24798,15516,$20700
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,Edgar Allan,5,Gelding,Poet's Voice,Joking Apart,2,Ms J Da Rose,4,M S Hibbs,59.5,0,0x9334x30,7:0-0-3,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,4:0-0-2,2:0-0-0,1:0-0-1,0:0-0-0,3:0-0-1,2:0-0-1,$11 775,14,Maiden,1600,Ms J Da Rose,10.9,30/08/20,Growmaster Sale Mdn Plate,1-Bak Da Man,13,51,01:37.56,Sale,Good 4,59.5,0:0-0-0,173408,848096,905225,15546,12038,15546,12038,$35000
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,Edgar Allan,5,Gelding,Poet's Voice,Joking Apart,2,Ms J Da Rose,4,M S Hibbs,59.5,0,0x9334x30,7:0-0-3,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,4:0-0-2,2:0-0-0,1:0-0-1,0:0-0-0,3:0-0-1,2:0-0-1,$11 775,6,Maiden,1600,Ms J Da Rose,1.3,16/08/20,Remembering M Claridge Mdn,1-Painted Black,3,17,01:42.91,Cranbourne,Heavy 8,59.5,0:0-0-0,173253,847090,905225,15546,12038,15546,12038,$35000
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,Edgar Allan,5,Gelding,Poet's Voice,Joking Apart,2,Ms J Da Rose,4,M S Hibbs,59.5,0,0x9334x30,7:0-0-3,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,4:0-0-2,2:0-0-0,1:0-0-1,0:0-0-0,3:0-0-1,2:0-0-1,$11 775,6,Maiden,2200,Ms J Da Rose,3.3,02/02/20,Sale Signtorque Mdn Plate,1-Vallauris,4,18,02:23.11,Sale,Soft 5,58.5,0:0-0-0,170746,831807,905225,15546,12038,15546,12038,$35000
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,Edgar Allan,5,Gelding,Poet's Voice,Joking Apart,2,Ms J Da Rose,4,M S Hibbs,59.5,0,0x9334x30,7:0-0-3,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,4:0-0-2,2:0-0-0,1:0-0-1,0:0-0-0,3:0-0-1,2:0-0-1,$11 775,1,Maiden,2460,Ms J Da Rose,0.4,09/01/20,Breeze Retirement Comm. Mdn,1-Fioritura,3,16,02:38.88,Geelong,Good 4,58.5,0:0-0-0,170419,829735,905225,15546,12038,15546,12038,$35000
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,Edgar Allan,5,Gelding,Poet's Voice,Joking Apart,2,Ms J Da Rose,4,M S Hibbs,59.5,0,0x9334x30,7:0-0-3,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,4:0-0-2,2:0-0-0,1:0-0-1,0:0-0-0,3:0-0-1,2:0-0-1,$11 775,5,Maiden,2219,Ms J Da Rose,3.2,22/12/19,Cabinet Connections Mdn Plate,1-Byalip,3,101,02:22.59,Sale,Good 4,58.5,0:0-0-0,170124,828215,905225,15546,12038,15546,12038,$35000
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,Edgar Allan,5,Gelding,Poet's Voice,Joking Apart,2,Ms J Da Rose,4,M S Hibbs,59.5,0,0x9334x30,7:0-0-3,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,4:0-0-2,2:0-0-0,1:0-0-1,0:0-0-0,3:0-0-1,2:0-0-1,$11 775,9,Maiden,1900,Ms J Da Rose,8.8,01/12/19,Win Network Mdn Plate,1-Carberry Hill,9,101,02:00.08,Traralgon,Good 3,58.5,0:0-0-0,169756,826246,905225,15546,12038,15546,12038,$23000
10/09/2020 00:00:00,Mornington,1,10-Sep-2020 13:30,2000,3yo+,Maiden,0,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Set Weight,Take It To The Neds Level Mdn,Apprentices Can Claim,Edgar Allan,5,Gelding,Poet's Voice,Joking Apart,2,Ms J Da Rose,4,M S Hibbs,59.5,0,0x9334x30,7:0-0-3,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,4:0-0-2,2:0-0-0,1:0-0-1,0:0-0-0,3:0-0-1,2:0-0-1,$11 775,10,Maiden,1600,Ms J Da Rose,44.8,06/06/19,Landmark Seymour Mdn Plate,1-Gottaluvtrucks,14,71,01:40.84,Seymour,Soft 5,58,0:0-0-0,166725,810165,905225,15546,12038,15546,12038,$35000
