meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,3,Open,2000,J Allen,5.3,29/08/20,Neds Price Boost Qlty,1-Al Galayel,7,7.5,02:02.21,Caulfield,Good 4,62,1:1-0-0,173375,847902,897578,26365,14854,26365,14854,$135000
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,9,Group 1,3200,T Marquand,6.2,11/04/20,Schweppes Sydney Cup,1-Etah James,7,2.9,03:28.46,Randwick,Heavy 8,56,1:1-0-0,171656,837536,897578,26365,14854,22103,15796,$1000000
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,10,Group 3,2400,T Marquand,0.4,21/03/20,N.E. Manion Cup,2-Mugatoo,1,7.5,02:31.54,Rosehill,Soft 6,59,1:1-0-0,171400,835959,897578,26365,14854,22103,15796,$160000
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,10,Group 1,2400,L Dettori,12.3,08/12/19,The Longines Hong Kong Vase,1-Glory Vase,9,65,02:24.77,Sha Tin,Good ,57,1:1-0-0,169852,826846,897578,26365,14854,22103,9224,$20000000
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,3,Listed,2414,T Marquand,3.0,04/11/19,Floodlit Stakes,,1,5,02:30.64,G B - Kempton Park,Synthetic ,59,1:1-0-0,169869,826863,897578,26365,14854,22103,15796,$0
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,5,Group 2,2414,J Doyle,15.3,04/05/19,Jockey Club,,6,6,02:33.49,G B - Newmarket,Good ,57.5,1:1-0-0,168873,821885,897578,26365,14854,22103,13824,$177659
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,6,Group 3,2414,J Doyle,6.8,13/04/19,John Porter,,5,2.6,02:42.15,G B - Newbury,Soft ,58.5,1:1-0-0,169326,826860,897578,26365,14854,22103,13824,$106596
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,3,Group 3,2414,J Crowley,0.0,27/10/18,St Simon Stks,,1,2,02:38.54,G B - Newbury,Soft ,57.5,1:1-0-0,168728,821050,897578,26365,14854,22103,13612,$102220
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,2,Group 3,2213,J Crowley,0.1,22/09/18,Legacy Cup Stak,,1,3.5,02:25.98,G B - Newbury,Soft ,57,1:1-0-0,163418,793787,897578,26365,14854,22103,13612,$0
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Young Rascal,6,Gelding,Intello,Rock My Soul,1,John Allen,10,Archie Alexander,62,0,7x11x56x19x17x7,13:6-1-0,1: 1-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,5:1-0-0,6:4-1-0,1:0-0-0,0:0-0-0,7:4-1-0,5:2-0-0,$369 503,9,Group 1,2420,J Doyle,16.5,02/06/18,Epsom Derby,,7,9.5,02:34.93,G B - Epsom,Good ,57,1:1-0-0,165426,826864,897578,26365,14854,22103,13824,$2555507
12/09/2020 00:00:00,Flemington,1,12-Sep-2020 12:05,2500,,Open,56,Of $135000  -  1st  $74250 | 2nd  $24300| 3rd  $12150| 4th  $6750| 5th  $4050,,Quality,Very Special Kids Pin And Win,Apprentices Cannot Claim,Lord Belvedere,7,Gelding,Archipenko,Diablerette,2,B Melham,5,C Maher & D Eustace,59,0,212x141x7811,24:7-6-2,3: 2-1-0,3: 3-0-0,2: 2-0-0,0:0-0-0,9:3-2-1,11:4-3-0,2:0-0-0,0:0-0-0,5:1-1-1,5:0-1-0,$335 735,4,Open,2600,B Melham,0.1,04/07/20,Banjo Paterson Final,2-Alfarris,1,2.8,02:48.31,Flemington,Soft 7,59.5,2:0-1-1,172740,843830,858643,27269,13198,27269,13198,$120000
