Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price,Notes
1-16,1,1,Behemoth,D R Jolly,C Williams,60,5,8-9-2009,$4-$4.2,$3.80,
2-16,1,6,Dollar For Dollar,T & C McEvoy,L Nolen,56.5,7,1-1-2001,$18-$31,$26,
3-16,1.1,13,Pretty Brazen,T & C McEvoy,L Currie,54.5,10,12-12-12,$14,$10,
4-16,1.4,10,Achernar Star,L Smith,J Mott,55.5,1,5-4-2003,$31,$51,
5-16,1.6,9,Reykjavik,L Smith,D Yendall,56,11,14-14-13,$31,$41,
6-16,1.8,15,Tagaloa,T Busuttin & N Young,M J Walker,54,12,6-5-2005,$9.50,$11,
7-16,1.9,16,Banquo,D T O'Brien,Jye Mc Neil,54,6,7-8-2008,$7.5-$8,$7,
7-16,1.9,7,Madam Rouge,C J Waller,B Melham,56,16,16-16-15,$18,$21,
9-16,2.4,8,Mandela Effect,Scott Brunton,C Newitt,56,2,9-7-2006,$31,$51,
10-16,2.5,11,Age Of Chivalry (NZ),M Ellerton & S Zahra,D Lane,55.5,13,3-3-2004,$9-$11,$10,
11-16,2.8,4,Cascadian (GB),James Cummings,D Oliver,58,8,11-11-10,$9-$8,$8.50,
12-16,3.2,5,Superstorm,G & A Williams,W Pike,57,15,13-13-14,$10-$12,$11,
13-16,3.4,3,Begood Toya Mother,Daniel Bowman,D Bates,58,4,4-6-2007,$21-$19,$26,
14-16,3.5,17,Harlech (NZ),M D Moroney,M J Dee,54,9,10-10-11,$31-$21,$26,
15-16,6.2,2,Streets Of Avalon,S P Nichols,D W Stackhouse,58.5,14,2-2-2002,$41-$51,$41,
16-16,21.2,12,Debt Agent (NZ),J T Conlan,W Egan,54.5,3,15-15-16,$91-$81,$101,
