,,,,,,,,,,
1-14,1,4,Perfect Jewel,G & A Williams,W Pike,57,9,8-6,$12,$14
2-14,1,12,Bless Her,Shea Eden,Jye Mc Neil,55,3,3-2,$6-$5.5,$6.50
3-14,2,11,She Shao Fly,K L Corstens,D Dunn,55,6,5-5,$21,$19
4-14,3.2,9,She's A Thief (NZ),M D Moroney,D W Stackhouse,55,2,1-1,$20-$31,$26
5-14,3.4,14,Street Icon,K L Corstens,J Kah,55,4,4-4,$18-$19,$15
6-14,3.6,3,Madam Rouge,C J Waller,C Williams,57,14,14-11,$5.50,$6.50
7-14,3.9,2,Pretty Brazen,T & C McEvoy,L Currie,58,10,11-9,$21,$31
8-14,4.4,6,Meuse,A & S Freedman,D Oliver,56,8,2-3,$61,$81
9-14,5.4,10,Clarice Cliffs,G Eurell,C Newitt,55,13,13-13,$21-$26,$21
10-14,5.6,1,Rubisaki,Patrick Payne,W Egan,58,12,7-7,$2.90-$3,$2.90
11-14,5.7,13,Jamaican Hurry,Amy & Ash Yargi,M J Dee,55,11,12-8,$81,$101
12-14,6.5,5,Broadwayandfourth,Mitchell Freedman,B Melham,56,7,9-10,$31,$31
13-14,7,7,Fidelia,R D Griffiths,D Yendall,55,5,10-12,$51,$41
14-14,32,8,Missile Mantra,P & P Snowden,D Lane,55,1,6-14,$9.5-$10,$8.50
