In Run,Flucs,Price,Notes,,,,,,,,
,1-10,3,2,Balle D'Or,S Morrish,D Dunn,60,1,,,$1.55
,2-10,3,7,Yankee Lou,Charlotte Littlefield,J Maskiell,58.5,3,,,$5.50
,3-10,6,5,Thunderdome,L & T Corstens,J Allen,59,8,,,$11
,4-10,6.1,11,Daskarzine,Ms M Cunningham,C Newitt,56,7,,,$61
,5-10,7.1,1,Triple Shot,V T Nolen,Ms A Bryan,60.5,4,,,$12
,6-10,7.2,8,Royal Pegasus,Ms M Cunningham,J Hill,58,6,,,$71
,7-10,8.7,9,Kimberley Spirit,A W Noonan,J Noonan,56,5,,,$18
,8-10,9.1,4,Suplex City,Amber Hendry,L Neindorf,58,10,,,$31
,9-10,9.5,3,Casino Fourteen,Amber Hendry,A Lynch,60,2,,,$61
,10-10,11.7,6,Active,Dan O'Sullivan,W Price,58.5,9,,,$26
